code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603799,华友钴业,,,,,,14149.01,,,07-20
002831,裕同科技,,,,,,9665.49,,,07-20
300316,晶盛机电,2.12,,4.23,67.11,0.96,21233.97,,,04-20
603123,翠微股份,0.73,,3.62,29.34,1.23,10919.43,,,04-10
300313,天山生物,0.33,,1.66,20.19,0.48,2226.21,,,04-06
600977,中国电影,,,,,,46989.0,,,03-21
300343,联创股份,1.12,,3.73,35.39,0.75,3365.41,,,03-15
300346,南大光电,4.22,,6.87,88.75,3.04,15925.65,,,03-14
300306,远方信息,1.24,,3.48,42.19,0.97,5570.46,,,03-12
002665,首航高科,0.4,,4.28,10.02,-0.29,4041.05,,,03-07
300344,太空智造,0.56,,3.4,17.95,0.09,4213.04,,,03-06
300302,同有科技,0.59,,3.33,19.38,0.21,2645.41,,,03-02
300337,银邦股份,0.71,,4.39,17.6,0.08,9933.15,,,03-02
002701,奥瑞金,1.17,,4.13,32.36,0.32,27019.35,,,03-01
300299,富春股份,0.43,,2.44,19.33,-0.51,2150.0,,,02-29
300339,润和软件,0.48,,4.01,12.1,0.46,2751.48,,,02-23
002691,冀凯股份,0.18,,2.14,9.65,-0.19,2705.57,,,02-17
300746,汉嘉设计,0.33,,3.46,10.14,0.29,3508.09,,,02-15
002690,美亚光电,0.6,,2.37,28.08,0.72,8947.97,,,02-15
300319,麦捷科技,0.56,,2.6,24.25,0.27,2252.93,,,02-10
603168,莎普爱思,1.08,,3.81,31.73,-0.12,5281.68,,,02-08
002682,龙洲股份,1.68,,4.43,37.66,1.8,16797.41,,,02-03
002685,华东重机,0.34,,1.69,22.09,0.39,5056.64,,,02-01
002699,美盛文化,0.68,,2.48,31.84,0.63,4725.51,,,02-01
300287,飞利信,0.34,,2.27,,-0.88,2136.93,,,01-31
002696,百洋股份,0.61,,4.39,14.42,0.23,3998.86,,,01-30
002653,海思科,0.57,,1.82,36.23,0.39,20131.72,,,01-16
300286,安科瑞,1.31,,5.3,,0.45,3405.71,,,01-12
300285,国瓷材料,0.69,,2.48,,,3233.57,,,01-12
300283,温州宏丰,1.29,,4.29,,-3.05,6852.34,,,01-09
300284,苏交科,0.55,,2.95,,-1.26,9851.08,,,01-09
002651,利君股份,1.14,,2.53,58.41,0.19,41094.65,,,01-05
002650,加加食品,0.63,,3.52,19.78,0.06,7604.74,,,01-05
002649,博彦科技,0.67,,4.6,,-0.01,5006.96,,,01-05
603333,尚纬股份,0.36,,2.62,14.62,0.25,9292.82,,,12-31
300311,任子行,0.36,,2.32,16.76,0.34,1901.81,,,12-31
300314,戴维医疗,0.52,,2.36,24.67,0.35,3104.07,,,12-29
300281,金明精机,0.86,,3.76,,-0.09,3883.43,,,12-28
300280,紫天科技,0.39,,2.96,,0.12,3698.15,,,12-28
300279,和晶科技,0.61,,2.75,25.31,0.25,2749.45,,,12-28
002648,卫星石化,3.38,,6.72,,1.04,50758.73,,,12-27
002647,仁东控股,,,3.54,,2.2,7435.63,,,12-27
002646,青青稞酒,0.42,,1.58,30.61,0.4,16406.29,,,12-21
002644,佛慈制药,0.41,,5.8,,0.31,2467.37,,,12-21
002645,华宏科技,0.89,,3.96,,0.83,4465.79,,,12-19
002643,万润股份,,,3.7,,2.1,10205.13,,,12-19
002642,*ST荣联,0.64,,3.17,21.08,-0.72,4784.84,,,12-19
300278,华昌达,0.58,,3.11,,-0.14,3782.54,,,12-15
300304,云意电气,0.82,,3.3,28.36,0.72,6139.43,,,12-15
300282,三盛教育,0.42,-19.23,3.16,14.24,0.36,1450.4,-19.08,,12-09
002640,跨境通,0.84,,3.92,23.96,0.36,4190.23,,,12-07
002641,永高股份,0.82,,3.34,,0.14,12270.26,,,12-07
002634,棒杰股份,0.66,,3.78,,0.55,3313.72,,,12-02
002639,雪人股份,0.47,,2.88,,0.17,5620.86,,,12-02
688122,西部超导,,,,,,8561.04,65.72,,11-25
002635,安洁科技,0.79,,2.96,,0.22,7086.5,,,11-24
002638,勤上股份,0.54,,6.42,8.84,0.22,7631.6,,,11-24
002637,赞宇科技,1.49,,5.07,,-2.04,9107.71,,,11-24
002636,金安国纪,0.37,,2.49,,0.17,7756.66,,,11-24
300277,海联讯,0.7,,4.05,17.2,-0.61,3482.55,,,11-22
002633,申科股份,0.41,,3.41,,0.42,3086.51,,,11-21
002632,道明光学,0.73,,3.66,,-0.05,5802.51,,,11-21
300276,三丰智能,0.93,,3.15,,0.56,4188.62,,,11-14
002631,德尔未来,0.65,,2.87,,0.56,7838.21,,,11-10
002630,华西能源,0.68,,7.05,,-1.02,8559.4,,,11-10
