code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2016-04-21,2016-03-31,0.034870,0.221052,,6086000000.000000,1.560033,,14308676139.00,11804054579.00
sz.000002,2016-04-28,2016-03-31,0.008298,0.085538,0.317810,1249823432.780000,1.657954,,11039152001.00,9704470347.00
sz.000004,2016-04-30,2016-03-31,-0.029784,-0.211699,0.227982,-2853904.780000,0.008435,,83976684.00,82961884.00
sz.000005,2016-04-27,2016-03-31,-0.005941,-0.147871,0.497431,-6420800.800000,-0.050992,,1058536842.00,913743007.00
sz.000006,2016-04-23,2016-03-31,0.011050,0.130541,0.443141,49930386.480000,0.195511,,1349995046.00,1340266070.00
sz.000007,2016-04-30,2016-03-31,0.020535,1.409866,0.701020,11620142.810000,0.114853,,230965363.00,205793463.00
sz.000008,2016-04-30,2016-03-31,0.002726,0.054137,0.478978,11513114.110000,0.051064,,2757709279.00,1497589979.00
sz.000009,2016-04-29,2016-03-31,0.006743,0.078016,0.351916,107649100.690000,0.479597,,1592107386.00,1555159800.00
sz.000010,2016-04-29,2016-03-31,-0.015149,-0.273505,0.268444,-33163794.970000,0.003545,,819854713.00,407929925.00
sz.000011,2016-04-30,2016-03-31,0.000275,0.002943,0.222232,577026.010000,0.263500,,595979092.00,175862626.00
sz.000012,2016-04-25,2016-03-31,0.025681,0.105075,0.262952,204835467.000000,0.360128,,2075335560.00,1304071902.00
sz.000014,2016-04-23,2016-03-31,-0.006804,-0.149574,0.275343,-4838973.910000,0.236870,,201705187.00,201705187.00
sz.000016,2016-04-29,2016-03-31,0.002990,0.003355,0.190826,13664089.980000,-0.521666,,2407945408.00,1596593800.00
sz.000017,2016-04-27,2016-03-31,0.012363,0.009666,0.080361,212639.770000,-0.000479,,551347947.00,302978758.00
sz.000019,2016-04-26,2016-03-31,-0.006630,-0.112819,0.210804,-8187808.610000,-0.105989,,301080184.00,252101543.00
sz.000020,2016-04-30,2016-03-31,0.001500,0.003413,0.147331,469935.690000,-0.023921,,283161227.00,181165391.00
sz.000021,2016-04-27,2016-03-31,0.028672,0.042241,0.050788,151025002.210000,0.190987,,1471259363.00,1469814362.00
sz.000023,2016-04-27,2016-03-31,-0.001096,0.000345,0.140887,61676.370000,0.202674,,138756240.00,138756240.00
sz.000025,2016-04-29,2016-03-31,0.007073,0.077575,0.262272,6184364.570000,0.161944,,297281600.00,179294544.00
sz.000026,2016-04-15,2016-03-31,0.011767,0.036976,0.405070,27101640.910000,0.237008,,438744881.00,311070137.00
sz.000027,2016-04-30,2016-03-31,0.009471,0.107371,0.259372,216809367.280000,0.411239,,3964491597.00,3964491597.00
sz.000028,2016-04-23,2016-03-31,0.035842,0.029062,0.075685,204997358.370000,2.104926,,362631943.00,233261812.00
sz.000029,2016-04-29,2016-03-31,0.013274,0.093740,0.229200,31175418.550000,0.303807,,1011660000.00,891660000.00
sz.000030,2016-04-21,2016-03-31,0.032894,0.121683,0.180935,157053056.550000,0.384901,,1293251508.00,1247233636.00
sz.000031,2016-04-30,2016-03-31,0.031360,0.140885,0.357825,448330391.380000,0.463332,,1813731596.00,1813720079.00
sz.000032,2016-04-28,2016-03-31,0.012382,0.029961,0.117277,15132693.870000,0.120215,,351878445.00,232863239.00
sz.000034,2016-04-29,2016-03-31,-0.004646,-0.065510,0.113398,-5919019.930000,-0.011534,,654070434.00,340056808.00
sz.000035,2016-04-16,2016-03-31,0.019350,0.221983,0.554643,36153664.750000,0.369281,,619278871.00,403550801.00
sz.000036,2016-04-30,2016-03-31,0.044589,1.953490,0.472379,92769880.040000,0.149963,,1140487712.00,1123880212.00
sz.000037,2016-04-27,2016-03-31,-0.075519,-0.254562,0.035654,-62207113.930000,-0.982905,,602762596.00,338895157.00
sz.000038,2016-04-30,2016-03-31,0.031884,0.216360,0.452704,35899099.490000,0.218952,,192064001.00,37731440.00
sz.000039,2016-04-29,2016-03-31,0.014254,0.046360,0.199478,482720000.000000,0.633595,,2978278386.00,1260835751.00
sz.000040,2016-04-30,2016-03-31,0.022271,0.049523,0.239390,29874983.540000,0.181928,,469593364.00,464583364.00
sz.000042,2016-04-29,2016-03-31,0.007937,0.022356,0.207974,42616827.390000,-0.023562,,665069639.00,478782783.00
sz.000045,2016-04-29,2016-03-31,-0.004725,-0.039062,0.089838,-10246461.600000,-0.012021,,506521849.00,457021849.00
sz.000046,2016-04-28,2016-03-31,0.013779,0.043422,0.373204,176377566.060000,0.367471,,5196200656.00,4549886929.00
sz.000048,2016-04-30,2016-03-31,0.010478,0.027439,0.216144,8753102.580000,0.525910,,390768671.00,381980117.00
sz.000049,2016-04-28,2016-03-31,0.040886,0.032467,0.097331,49410950.560000,1.023073,,205243738.00,205243738.00
sz.000050,2016-04-30,2016-03-31,0.006830,0.037073,0.195061,90885529.260000,0.368513,,1401098744.00,943086454.00
sz.000055,2016-04-26,2016-03-31,0.016671,0.040781,0.165813,19130470.770000,0.150555,,756909905.00,419986675.00
sz.000056,2016-04-27,2016-03-31,0.004072,0.307862,0.722541,20398316.810000,0.085666,,573892434.00,143055590.00
sz.000058,2016-04-22,2016-03-31,0.011925,0.152277,0.249494,29104256.890000,0.089946,,784799010.00,538266003.00
sz.000059,2016-04-15,2016-03-31,0.050718,0.074880,0.251112,473420420.600000,0.583838,,1599442537.00,1399970996.00
sz.000060,2016-04-28,2016-03-31,-0.007206,-0.018380,0.047401,-53833313.550000,0.040597,,2212627938.00,2211487479.00
sz.000061,2016-04-30,2016-03-31,0.000851,0.029329,0.409333,13953700.350000,0.017772,,1696964131.00,1691529546.00
sz.000062,2016-04-19,2016-03-31,0.016214,0.058224,0.211170,59729831.930000,0.530191,,721316774.00,666949572.00
sz.000063,2016-04-29,2016-03-31,0.031824,0.048546,0.346760,1061152000.000000,0.803827,,4153471165.00,3389117395.00
sz.000065,2016-04-28,2016-03-31,0.016188,0.031491,0.095151,32007903.700000,0.833686,,274371762.00,253401907.00
sz.000066,2016-04-30,2016-03-31,-0.007572,-0.004445,0.108022,-69093342.080000,0.028899,,1323593886.00,1323570126.00
sz.000068,2016-04-21,2016-03-31,-0.021368,-0.801081,0.259345,-15040886.540000,0.004818,,1006671464.00,896671464.00
sz.000069,2016-04-29,2016-03-31,0.015720,0.116357,0.468968,640002047.870000,0.575874,,8205681415.00,6119184942.00
sz.000070,2016-04-29,2016-03-31,0.022237,0.038379,0.149460,39578352.010000,0.361712,,313497373.00,258611876.00
sz.000078,2016-04-29,2016-03-31,0.021459,0.015375,0.123474,48096722.510000,0.646547,,752513855.00,729869978.00
sz.000088,2016-04-28,2016-03-31,0.013510,1.339425,0.562934,83265353.680000,0.224450,,1942200000.00,1942145797.00
sz.000089,2016-04-28,2016-03-31,0.012961,0.186218,0.280604,135764229.380000,0.274706,,2050769509.00,2050769509.00
sz.000090,2016-04-26,2016-03-31,0.006977,0.034600,0.213007,42014322.000000,0.453305,,855561097.00,552530044.00
sz.000096,2016-04-30,2016-03-31,0.004041,0.043537,0.170244,8964711.200000,0.031655,,528000000.00,510848000.00
sz.000099,2016-04-19,2016-03-31,0.006515,0.076840,0.189802,19203828.010000,0.250332,,606070420.00,606070420.00
sz.000100,2016-04-21,2016-03-31,0.010673,0.015191,0.149315,355449801.000000,0.169767,,12213681742.00,8993776446.00
sz.000150,2016-04-20,2016-03-31,0.448120,4.512042,0.315599,962254003.690000,2.256214,,447804877.00,331512195.00
sz.000151,2016-04-22,2016-03-31,0.023556,0.075786,0.172588,24141574.880000,0.455715,,295980000.00,266543967.00
sz.000153,2016-04-28,2016-03-31,0.005682,0.014973,0.260277,6386081.260000,0.103704,,312141230.00,311977230.00
sz.000155,2016-04-30,2016-03-31,,-0.423875,0.017723,-34974554.120000,-1.162617,,470000000.00,470000000.00
sz.000156,2016-04-25,2016-03-31,0.015762,0.217229,0.456653,146358218.870000,0.383241,,1433351902.00,546868435.00
sz.000157,2016-04-23,2016-03-31,-0.016668,-0.212852,0.264266,-643599893.480000,-0.025248,,7664132250.00,6264493745.00
sz.000158,2016-04-29,2016-03-31,-0.004983,-0.015025,0.082799,-27534133.800000,0.206900,,1271442278.00,718861000.00
sz.000159,2016-04-28,2016-03-31,-0.011380,-0.496003,0.133778,-25050790.100000,0.088643,,481139294.00,481139294.00
sz.000166,2016-04-30,2016-03-31,0.020877,0.362949,,1066990199.560000,0.754212,,14856744977.00,5323197071.00
sz.000301,2016-04-29,2016-03-31,0.011380,0.245240,0.456499,37108867.580000,0.137452,,1218236445.00,1218236445.00
sz.000333,2016-04-30,2016-03-31,0.075825,0.108675,0.298251,4166767000.000000,3.110060,,4267391228.00,2241047478.00
sz.000338,2016-04-30,2016-03-31,0.013893,0.036821,0.228964,695151672.520000,0.308345,,3998619278.00,2092169774.00
sz.000400,2016-04-28,2016-03-31,0.005686,0.021560,0.265993,20385109.660000,0.739785,,1008327309.00,737446047.00
sz.000401,2016-04-26,2016-03-31,-0.083954,-0.615023,-0.017674,-885635787.980000,-1.425390,,1347522914.00,1347188471.00
sz.000402,2016-04-30,2016-03-31,0.030142,0.181475,0.443276,780637760.850000,0.747946,,2988929907.00,2986959935.00
sz.000403,2016-04-29,2016-03-31,0.034749,0.091263,0.460241,14983717.830000,0.298751,,272577599.00,187306124.00
sz.000404,2016-04-16,2016-03-31,0.022158,0.041032,0.133079,76142431.350000,0.410126,,559623953.00,558395998.00
sz.000407,2016-04-26,2016-03-31,0.029252,0.093335,0.125551,56089990.530000,0.095584,,774048768.00,661445985.00
sz.000408,2016-04-27,2016-03-31,0.003831,,,274505.590000,-0.236954,,252301500.00,252300600.00
sz.000409,2016-04-30,2016-03-31,0.004861,0.022132,0.144881,12713759.760000,0.272662,,472709345.00,357747772.00
sz.000410,2016-04-30,2016-03-31,-0.062299,-0.079217,0.252026,-129798906.330000,-0.813281,,765470884.00,739825146.00
sz.000411,2016-04-30,2016-03-31,0.026942,0.010176,0.055915,42102163.730000,0.338948,,207449946.00,207325671.00
sz.000413,2016-04-29,2016-03-31,0.023993,0.231393,0.334633,365992915.380000,0.395231,,3835000526.00,2019255121.00
sz.000415,2016-04-30,2016-03-31,0.007902,0.080654,0.377086,430347000.000000,0.205824,,6184521282.00,3115585808.00
sz.000416,2016-04-30,2016-03-31,-0.012929,-0.174855,,-10854669.210000,0.000003,,531871494.00,531610254.00
sz.000417,2016-04-29,2016-03-31,0.028057,0.037121,0.182353,109816071.580000,0.320336,,779884200.00,778610725.00
sz.000419,2016-04-26,2016-03-31,0.018074,0.037149,0.199265,37219683.270000,0.182014,,543582655.00,543289983.00
sz.000420,2016-04-29,2016-03-31,0.002632,0.001339,0.139448,390208.760000,0.078730,,716603328.00,318305498.00
sz.000421,2016-04-28,2016-03-31,0.027698,0.098298,0.130596,95587583.750000,0.359284,,572646934.00,392309100.00
sz.000422,2016-04-30,2016-03-31,0.001938,0.000359,0.136857,1594715.800000,0.042742,,897866712.00,897812984.00
sz.000423,2016-04-20,2016-03-31,0.074715,0.369258,0.725638,547636188.170000,2.512623,,654021537.00,653867088.00
sz.000425,2016-04-26,2016-03-31,0.000513,0.003081,0.194914,10716323.460000,0.064059,,7084287702.00,7070125719.00
sz.000426,2016-04-28,2016-03-31,-0.001385,-0.051792,0.407672,-3735047.400000,-0.030276,,1193889056.00,963265452.00
sz.000428,2016-04-30,2016-03-31,-0.018248,-0.361810,0.582259,-82619446.250000,0.003865,,1018926000.00,718748700.00
sz.000429,2016-04-26,2016-03-31,0.024385,0.392289,0.501643,150914670.780000,0.403005,,1257117748.00,468668996.00
