code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000001,2019-10-22,2019-09-30,,,,0.097145,0.922304,12.870637
sz.000002,2019-10-25,2019-09-30,1.129656,0.414484,0.089196,0.145997,0.850587,6.692875
sz.000004,2019-10-31,2019-09-30,7.842507,7.842507,1.788381,-0.909501,0.095336,1.105382
sz.000005,2019-10-30,2019-09-30,1.278372,0.948673,0.065521,-0.039452,0.468174,1.880316
sz.000006,2019-10-30,2019-09-30,2.161024,0.905103,0.772905,0.360205,0.566858,2.308714
sz.000007,2019-10-31,2019-09-30,2.418594,2.415750,0.260765,2.954819,0.482606,1.932765
sz.000008,2019-10-22,2019-09-30,1.855941,1.566610,0.174834,0.217624,0.311190,1.451779
sz.000009,2019-10-26,2019-09-30,1.578081,0.833197,0.394362,0.056091,0.652047,2.873948
sz.000010,2019-10-31,2019-09-30,1.026980,0.560987,0.052613,0.314175,0.830591,5.902864
sz.000011,2019-10-31,2019-09-30,1.941210,1.096440,0.728339,2.547951,0.676304,3.089314
sz.000012,2019-10-28,2019-09-30,0.702586,0.580845,0.278605,-0.193204,0.462034,1.858854
sz.000014,2019-10-26,2019-09-30,1.773212,0.271199,0.163372,0.033151,0.536879,2.159264
sz.000016,2019-10-31,2019-09-30,1.130134,0.862147,0.289676,0.433986,0.757791,4.128658
sz.000017,2019-10-30,2019-09-30,1.198782,1.131848,0.167911,0.031453,0.752974,4.048163
sz.000019,2019-10-29,2019-09-30,3.641699,1.123560,0.324203,25.724327,0.311158,1.451712
sz.000020,2019-10-29,2019-09-30,1.114198,0.873142,0.114664,-0.083275,0.447189,1.808935
sz.000021,2019-10-31,2019-09-30,1.109495,0.685655,0.450486,0.310370,0.611078,2.571210
sz.000023,2019-10-29,2019-09-30,1.186061,0.939246,0.307848,0.078537,0.750617,4.009890
sz.000025,2019-10-31,2019-09-30,1.397747,1.386970,0.353627,0.253139,0.342939,1.521929
sz.000026,2019-10-18,2019-09-30,2.445397,0.827215,0.254036,0.009160,0.290427,1.409299
sz.000027,2019-10-31,2019-09-30,1.124062,1.066006,0.240650,0.059326,0.641376,2.788437
sz.000028,2019-10-24,2019-09-30,1.527493,1.242462,0.422057,0.354388,0.571535,2.333911
sz.000029,2019-10-30,2019-09-30,2.412318,1.610285,0.834398,0.394976,0.358647,1.559203
sz.000030,2019-10-30,2019-09-30,1.498173,1.293604,0.276556,0.130868,0.404434,1.679074
sz.000031,2019-10-31,2019-09-30,1.547184,0.704421,0.273702,0.822538,0.789153,4.742773
sz.000032,2019-10-26,2019-09-30,2.902790,2.348319,1.554841,-0.109637,0.269748,1.369391
sz.000034,2019-10-23,2019-09-30,1.005505,0.614531,0.118074,0.101134,0.847090,6.539792
sz.000035,2019-10-31,2019-09-30,0.956305,0.902011,0.228244,5.078775,0.744873,3.919613
sz.000036,2019-10-31,2019-09-30,2.082016,1.349259,1.119663,0.101887,0.553863,2.241462
sz.000037,2019-10-25,2019-09-30,1.497844,1.389261,0.818666,0.158919,0.395748,1.654938
sz.000038,2019-10-31,2019-09-30,7.610468,7.142361,3.079913,-0.281709,0.105481,1.117919
sz.000039,2019-10-29,2019-09-30,1.132743,0.692257,0.117817,0.058404,0.666985,3.002869
sz.000040,2019-10-31,2019-09-30,1.489889,1.231010,0.472545,0.131573,0.559875,2.272082
sz.000042,2019-10-29,2019-09-30,1.478311,0.310566,0.196087,-0.053257,0.816275,5.442919
sz.000045,2019-10-31,2019-09-30,5.158925,4.148247,1.037961,-0.334202,0.151492,1.178539
sz.000046,2019-10-31,2019-09-30,1.506919,0.853337,0.192011,-0.171199,0.812688,5.338697
sz.000048,2019-10-31,2019-09-30,1.128433,0.692424,0.420186,0.305305,0.763887,4.235258
sz.000049,2019-10-29,2019-09-30,1.236501,0.855127,0.037959,-0.107004,0.710492,3.454135
sz.000050,2019-10-31,2019-09-30,0.775842,0.647279,0.203385,0.112877,0.585569,2.412945
sz.000055,2019-10-26,2019-09-30,1.085869,0.885662,0.267313,0.323511,0.531441,2.134204
sz.000056,2019-10-29,2019-09-30,1.133951,1.125888,0.076196,0.010519,0.546478,2.204966
sz.000058,2019-10-31,2019-09-30,2.270112,0.940112,0.395537,0.024714,0.592615,2.454678
sz.000059,2019-10-22,2019-09-30,1.771814,1.113501,0.764779,-0.161548,0.485542,1.943794
sz.000060,2019-10-28,2019-09-30,1.143605,0.861924,0.524327,0.054026,0.459224,1.849194
sz.000061,2019-10-30,2019-09-30,0.547820,0.463339,0.265300,-0.024378,0.643829,2.807641
sz.000062,2019-10-24,2019-09-30,1.448089,1.061833,0.271195,-0.030370,0.486709,1.948211
sz.000063,2019-10-29,2019-09-30,1.163321,0.842626,0.352910,0.223659,0.747027,3.952994
sz.000065,2019-10-31,2019-09-30,1.377892,1.300051,0.445051,0.016351,0.598316,2.489518
sz.000066,2019-10-31,2019-09-30,1.291087,0.965768,0.306062,0.451004,0.636143,2.748331
sz.000068,2019-10-31,2019-09-30,0.847316,0.817406,0.466133,0.335326,0.780008,4.545615
sz.000069,2019-10-29,2019-09-30,1.662178,0.484375,0.233337,0.376530,0.768913,4.327376
sz.000070,2019-10-29,2019-09-30,1.406805,0.921940,0.172199,-0.123270,0.556481,2.254694
sz.000078,2019-10-29,2019-09-30,1.138004,1.007836,0.182868,0.113971,0.799817,4.995435
sz.000088,2019-10-29,2019-09-30,2.703542,2.698512,1.206458,0.084428,0.247608,1.329095
sz.000089,2019-10-25,2019-09-30,1.734688,1.730632,1.278176,-0.014191,0.142969,1.166819
sz.000090,2019-10-30,2019-09-30,1.529005,0.560694,0.424879,0.303961,0.774475,4.434107
sz.000096,2019-10-30,2019-09-30,12.163382,11.969673,10.408242,-0.097091,0.054992,1.058192
sz.000099,2019-10-29,2019-09-30,1.621030,1.406520,0.365052,0.083524,0.429129,1.751708
sz.000100,2019-10-31,2019-09-30,1.109886,0.987562,0.403898,-0.219989,0.603083,2.519421
sz.000150,2019-10-30,2019-09-30,0.634417,0.588555,0.037783,-0.077338,0.688013,3.205262
sz.000151,2019-10-30,2019-09-30,1.432465,0.740444,0.415406,-0.126758,0.569527,2.323028
sz.000153,2019-10-30,2019-09-30,1.003549,0.749957,0.179688,0.187999,0.603462,2.521825
sz.000155,2019-10-22,2019-09-30,3.811211,3.699500,0.284748,-0.096169,0.421428,1.728394
sz.000156,2019-10-31,2019-09-30,3.157231,3.132504,1.583135,0.086089,0.287639,1.403783
sz.000157,2019-10-31,2019-09-30,1.540494,1.312840,0.184072,0.333457,0.628920,2.694838
sz.000158,2019-10-31,2019-09-30,1.221944,0.849686,0.164027,0.118278,0.558938,2.267257
sz.000159,2019-10-29,2019-09-30,2.680731,1.246544,0.233790,0.117468,0.242547,1.320214
sz.000166,2019-10-31,2019-09-30,,,,0.038138,0.775298,4.450343
sz.000301,2019-10-31,2019-09-30,0.748922,0.517411,0.370250,0.859100,0.577621,2.367544
sz.000333,2019-10-31,2019-09-30,1.546203,1.360704,0.405148,0.098741,0.634189,2.733652
sz.000338,2019-10-31,2019-09-30,1.220572,0.999599,0.371891,0.126415,0.701586,3.351048
sz.000400,2019-10-12,2019-09-30,2.055139,1.546634,0.143066,-0.052263,0.411853,1.700255
sz.000401,2019-10-25,2019-09-30,0.805580,0.706870,0.272467,-0.060129,0.538210,2.165487
sz.000402,2019-10-31,2019-09-30,2.092761,0.482725,0.214375,0.077215,0.764538,4.246971
sz.000403,2019-10-19,2019-09-30,1.608556,0.761255,0.265566,-0.248329,0.402534,1.673734
sz.000404,2019-10-18,2019-09-30,1.419499,1.215916,0.631003,0.068550,0.589586,2.436562
sz.000407,2019-10-29,2019-09-30,0.708523,0.566863,0.260343,-0.015208,0.542864,2.187532
sz.000408,2019-10-30,2019-09-30,1.145800,0.873217,0.020049,0.982355,0.204854,1.257631
sz.000409,2019-10-31,2019-09-30,1.093029,0.713965,0.277087,0.234410,0.637842,2.761229
sz.000410,2019-10-31,2019-09-30,0.632916,0.271690,0.026813,-0.134830,1.166875,
sz.000411,2019-10-26,2019-09-30,1.243785,0.934068,0.146945,0.198709,0.752236,4.036103
sz.000413,2019-10-31,2019-09-30,1.644932,1.453272,0.677228,0.094832,0.526779,2.113176
sz.000415,2019-10-31,2019-09-30,0.922524,0.921817,0.438313,-0.156350,0.793934,4.852803
sz.000416,2019-10-31,2019-09-30,28.046634,28.046634,1.999605,0.093631,0.025877,1.026565
sz.000417,2019-10-25,2019-09-30,0.941243,0.591368,0.413169,0.027674,0.555168,2.248042
sz.000419,2019-10-22,2019-09-30,1.405753,1.211384,0.602770,0.030228,0.383663,1.622489
sz.000420,2019-10-31,2019-09-30,0.505462,0.377096,0.156620,0.121144,0.626198,2.675212
sz.000421,2019-10-31,2019-09-30,0.844241,0.408746,0.133060,0.036570,0.687640,3.201434
sz.000422,2019-10-31,2019-09-30,0.385525,0.295483,0.174454,-0.005141,0.915293,11.805364
sz.000423,2019-10-31,2019-09-30,5.399633,3.420954,0.884971,0.016337,0.141467,1.164778
sz.000425,2019-10-31,2019-09-30,1.660934,1.374759,0.396731,0.181311,0.526188,2.110541
sz.000426,2019-10-31,2019-09-30,0.205626,0.131944,0.013467,-0.007029,0.426646,1.744123
sz.000428,2019-10-26,2019-09-30,0.617518,0.334573,0.106006,0.004588,0.675786,3.084385
sz.000429,2019-10-31,2019-09-30,2.062344,2.062262,1.956403,0.090174,0.411514,1.699275
sz.000430,2019-10-30,2019-09-30,0.992493,0.976058,0.581878,0.192244,0.388036,1.634084
sz.000488,2019-10-26,2019-09-30,0.813049,0.733906,0.360819,0.016532,0.758144,4.134686
sz.000498,2019-10-30,2019-09-30,1.202321,0.588728,0.128101,0.256299,0.731740,3.727727
sz.000501,2019-10-29,2019-09-30,0.512862,0.253538,0.186846,0.048329,0.604265,2.526944
sz.000502,2019-10-31,2019-09-30,4.196242,3.384109,2.214116,-0.832269,0.137540,1.159475
sz.000503,2019-10-30,2019-09-30,14.092446,14.091592,10.031556,0.339032,0.041543,1.043343
sz.000504,2019-10-30,2019-09-30,0.655824,0.522752,0.229375,-0.020290,0.750474,4.007605
sz.000505,2019-10-19,2019-09-30,1.471780,0.979271,0.245913,-0.222905,0.427645,1.747166
sz.000506,2019-10-30,2019-09-30,0.841656,0.497661,0.051664,0.071873,0.587004,2.421334
sz.000507,2019-10-29,2019-09-30,1.134280,1.053895,0.667878,-0.027238,0.382874,1.620414
sz.000509,2019-10-26,2019-09-30,0.835600,0.818934,0.233360,-0.143182,0.785893,4.670557
sz.000510,2019-10-26,2019-09-30,0.949628,0.634327,0.176262,-0.247218,0.302281,1.433241
sz.000513,2019-10-23,2019-09-30,2.783133,2.514506,1.777557,0.085700,0.268883,1.367770
sz.000514,2019-10-18,2019-09-30,2.500998,0.692798,0.559125,-0.098803,0.442553,1.793891
sz.000516,2019-10-30,2019-09-30,1.897726,1.862493,1.392908,4.631662,0.422213,1.730740
sz.000517,2019-10-29,2019-09-30,1.342308,0.278137,0.169906,0.886198,0.854922,6.892861
sz.000518,2019-10-31,2019-09-30,3.046702,0.717763,0.139450,-0.001461,0.268109,1.366323
sz.000519,2019-10-29,2019-09-30,3.397305,2.476783,1.480161,0.078477,0.235693,1.308374
sz.000520,2019-10-25,2019-09-30,1.360559,1.302122,0.499639,0.001257,0.322713,1.476479
sz.000521,2019-10-18,2019-09-30,1.251181,1.059003,0.454126,-0.112659,0.653925,2.889545
sz.000523,2019-10-29,2019-09-30,1.230619,0.969742,0.090873,0.182852,0.735110,3.775156
sz.000524,2019-10-30,2019-09-30,1.614420,1.605491,1.028421,0.042253,0.448971,1.814788
sz.000525,2019-10-31,2019-09-30,0.914542,0.699005,0.293932,0.308602,0.640934,2.785002
sz.000526,2019-10-31,2019-09-30,0.469284,0.469220,0.218483,0.022344,0.964990,28.563479
sz.000528,2019-10-30,2019-09-30,1.526015,1.133792,0.324353,0.198287,0.618697,2.622589
sz.000529,2019-10-30,2019-09-30,2.616893,1.991107,1.650432,0.213231,0.280712,1.390263
