ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
000001.SZ,000001,平安银行,深圳,银行,19910403,8.858101,0.914733,1.810364,14.472630
000002.SZ,000002,万科A,深圳,全国地产,19910129,7.704932,1.592626,0.814112,-18.802007
000004.SZ,000004,国农科技,深圳,生物制药,19910114,-200.428288,55.751907,25.293407,-57.403394
000005.SZ,000005,世纪星源,深圳,环境保护,19901210,16.317686,1.983815,4.532165,289.754870
000006.SZ,000006,深振业A,深圳,区域地产,19920427,7.750113,0.978739,1.676915,3.805431
000007.SZ,000007,全新好,深圳,酒店餐饮,19920413,-14.624412,15.870720,69.782296,930.003355
000008.SZ,000008,神州高铁,北京,运输设备,19920507,26.066022,1.265736,3.216845,-226.135048
000009.SZ,000009,中国宝安,深圳,综合类,19910625,52.668738,3.087035,1.199122,23.575346
000010.SZ,000010,*ST美丽,深圳,建筑工程,19951027,-5.968627,6.706467,2.383854,-969.942300
000011.SZ,000011,深物业A,深圳,区域地产,19920330,6.252708,1.624391,1.290744,-8.584279
000012.SZ,000012,南玻A,深圳,玻璃,19920228,28.012227,1.549731,1.461905,-11.399121
000014.SZ,000014,沙河股份,深圳,全国地产,19920602,12.451583,1.917972,6.280782,-49.594222
000016.SZ,000016,深康佳A,深圳,家用电器,19920327,49.725628,2.576991,0.370030,9.595542
000017.SZ,000017,深中华A,深圳,文教休闲,19920331,-860.263883,144.019344,25.705257,-197.428884
000019.SZ,000019,深粮控股,深圳,其他商业,19921012,21.873656,1.731427,0.692337,14581.188392
000020.SZ,000020,深华发A,深圳,元器件,19920428,434.311740,8.191783,3.852234,230.256736
000021.SZ,000021,深科技,深圳,IT设备,19940202,75.829064,4.244178,2.026026,-44.903181
000023.SZ,000023,深天地A,深圳,其他建材,19930429,29.686278,4.344680,1.101295,28.643634
000025.SZ,000025,特力A,深圳,汽车服务,19930621,69.531095,7.183978,14.572764,143.772624
000026.SZ,000026,飞亚达,深圳,其他商业,19930603,18.239134,1.483497,1.063113,25.827903
000027.SZ,000027,深圳能源,深圳,火力发电,19930903,11.983980,0.900092,0.983404,25.896814
000028.SZ,000028,国药一致,深圳,医药商业,19930809,13.601979,1.388724,0.332247,21.952067
000029.SZ,000029,深深房A,深圳,区域地产,19930915,20.088449,3.026531,4.354273,30.942072
000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,12.212241,1.599368,1.134203,-27.527045
000031.SZ,000031,大悦城,深圳,全国地产,19931008,10.812907,1.359175,1.011432,3.346930
000032.SZ,000032,深桑达A,深圳,元器件,19931028,58.808069,4.593560,4.514483,-153.812960
000034.SZ,000034,神州数码,深圳,综合类,19940509,28.769094,4.651242,0.213283,96.314752
000035.SZ,000035,中国天楹,江苏,环境保护,19940408,27.671509,1.226650,0.899821,6.041771
000036.SZ,000036,华联控股,深圳,全国地产,19940617,6.261711,1.108552,1.825921,3.465140
000037.SZ,000037,深南电A,深圳,火力发电,19940701,285.877621,3.554385,5.822636,-49.618697
000038.SZ,000038,深大通,深圳,广告包装,19940808,-1.723239,1.808684,2.424376,-10.947374
000039.SZ,000039,中集集团,深圳,轻工机械,19940408,16.203250,0.808925,0.312072,-8.756201
000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808,-24.897167,0.367143,0.543261,13.353790
000042.SZ,000042,中洲控股,深圳,全国地产,19940921,10.232824,0.827445,1.350027,-7.885719
000045.SZ,000045,深纺织A,深圳,元器件,19940815,184.014874,1.327606,1.677982,-4.186935
000046.SZ,000046,泛海控股,北京,多元金融,19940912,13.124605,0.921371,1.670935,-5.091540
000048.SZ,000048,康达尔,深圳,饲料,19941101,10.956374,6.534171,2.208791,-11.655741
000049.SZ,000049,德赛电池,深圳,电气设备,19950320,15.994302,3.617320,0.411715,-85.681676
000050.SZ,000050,深天马A,深圳,元器件,19950315,34.844750,1.082067,0.954331,-62.133683
000055.SZ,000055,方大集团,深圳,其他建材,19960415,2.326949,0.958488,1.647699,-14.872592
000056.SZ,000056,皇庭国际,深圳,房产服务,19960708,50.304629,0.756487,4.182739,-114.039873
000058.SZ,000058,深赛格,深圳,元器件,19961226,181422.297751,4.118847,6.223153,-48.030625
000059.SZ,000059,华锦股份,辽宁,石油加工,19970130,9.723730,0.651840,0.227528,-11.915868
